"Title:","Median Home Value - Middle Tier Homes from the Zillow Real Estate Metrics [Archive] Database"
"SubTitle:","Counties within State"
"Time:","04/1996 - 04/2019"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"10/2014",197700,318100,100500,70500,105900,75600,89700,83700,114600,199000,105800,116700,232300,129900,137700,77900,98400,99900,158100,86500,123200,592300,118300,116200,123800,91300,421200,1203700,107100,104600,122100,139800,210700,84700,90900,116800,305000,477300,165200,388300,389400,71800,233400,150200,120700,94700,87800,338500,129100,108200,178200,196600,185000,128700,111500,538000,93900,119800
"11/2014",197100,318800,100700,70900,106100,75500,89600,83700,114800,198800,105000,116600,231400,129900,137600,77800,97900,99000,158200,86400,123100,597900,119500,116300,123300,91600,422400,1210000,107200,104800,121900,140300,211300,85400,91200,116900,305700,480000,165500,389300,389000,72000,233800,150000,120700,94900,87500,337800,127800,108900,177800,194900,186000,127000,111300,540200,96300,120300
"12/2014",197100,320300,100700,70900,106200,75500,89300,84000,114700,198600,104100,116500,230100,130200,136600,77500,97600,98500,157600,86400,123400,602300,121000,116100,123000,91700,423800,1213700,107300,105200,121900,140700,212100,85800,90700,117000,306400,482800,165700,389900,388300,72100,234800,150200,120500,93800,87100,336900,127800,108800,178100,191200,186300,126800,110900,542100,98000,120900
"01/2015",197800,321900,100600,70700,107200,75400,89000,84800,114400,198900,103900,116800,229100,130700,135500,77000,97500,99100,156900,86500,122800,605500,120100,116100,122900,91400,423900,1216500,107700,105200,121800,140900,212900,85100,90100,117000,306200,485300,165700,392000,389100,72200,236300,150200,120500,91100,86500,337300,129800,107100,179300,187000,185900,127000,110700,543600,97200,121700
"02/2015",197800,322600,100400,70600,108200,75300,89100,85600,114300,199700,104100,117300,229100,131200,135800,77100,97500,100200,156600,86700,122200,606900,118400,116400,123000,90700,423700,1217000,108000,105200,121900,141400,213800,84300,89900,117100,304000,487700,165500,395300,391000,72400,237400,150200,120600,88600,86200,338100,131800,105300,180000,184500,185200,127900,110700,543400,95800,122400
"03/2015",197400,323000,99600,70600,108600,75400,89300,85800,114400,200400,104100,117900,229000,131700,137200,77700,98200,100800,156700,86800,122100,608900,117700,116600,123200,90500,425300,1218200,107800,106000,122100,142500,214500,84100,90200,117300,301000,490700,165200,397900,390700,72800,236900,150000,120800,88200,86200,337700,132600,105000,180000,183500,185000,129100,110700,542300,95600,123000
"04/2015",197500,322800,98800,70700,108100,75700,89500,85900,114500,201100,104200,118400,229100,132300,137700,79200,99200,101200,156800,86900,123000,613800,118000,116800,123600,90400,427800,1221300,107700,106900,122400,143700,214400,84100,90800,117600,299600,493600,164900,399900,388600,73200,236300,149700,121100,88100,86700,337300,133600,105500,180000,183500,185500,130400,111000,542400,95600,123800
"05/2015",197900,322500,98400,71200,107600,75800,89600,86300,114800,201600,104400,118600,230100,133100,137900,81800,100100,101300,157000,87300,124000,622000,118300,116500,124400,90300,429000,1225300,107600,107300,122600,144400,213600,84200,91000,117900,300000,495400,164500,401400,386100,73400,236900,149500,121300,88100,87100,338400,135000,106000,180400,184000,186100,131600,111300,542500,95400,124700
"06/2015",198000,323400,98200,71600,107300,75400,89800,86600,115700,201900,104500,118500,230900,133800,138600,84300,100800,101500,157300,87700,124400,630500,118200,116100,125700,90600,429000,1230700,107400,107500,122600,144800,213200,84500,91000,117900,301600,497600,164100,402100,385100,73500,238100,149700,121300,88400,87100,339800,135800,106100,181200,183700,186800,132400,111700,542400,95500,125200
"07/2015",198200,324600,97500,71500,107600,75200,89700,86500,116400,202200,105000,118400,230800,134400,139300,85100,101400,101600,157800,88100,123800,637400,118300,115900,127300,91200,429900,1241800,107300,107800,122700,145300,213100,85100,91200,117900,302500,502300,164000,402200,385300,73800,238700,150200,121500,88900,86500,340300,136900,106400,182400,182100,187700,132800,112200,544800,95600,125600
"08/2015",198600,324900,96700,71200,107800,75300,89600,86000,116600,202200,105600,118500,230700,135000,139600,85600,101800,101800,158600,88300,122300,642000,118400,116000,128700,91300,432600,1254500,107400,108000,123100,146000,212800,85500,91600,117700,302800,507100,164200,403300,387300,74000,239600,150800,121900,89500,85900,341700,138000,106500,183200,181200,188300,133000,112700,549900,95700,125900
"09/2015",198700,325400,96100,71100,108000,75700,89800,85600,116800,202000,105700,118700,231300,135500,140000,85700,102000,102200,159100,88400,121500,645400,118600,116600,130500,91300,436700,1264600,107500,107900,123500,146700,212300,85600,91900,117600,302600,510300,164600,405000,390400,74100,241000,151200,122300,90000,86000,344200,139000,106700,183600,181500,188300,133000,113200,554000,95900,125900
"10/2015",198700,326400,95700,71300,108300,76500,90000,85200,117400,201500,105600,118600,232600,136100,140400,85500,102400,102600,159600,88600,121900,648900,119000,117600,133100,91400,439500,1272300,107600,107800,123700,147300,211500,85600,92200,117600,302700,513800,164800,406600,393200,74200,242200,151000,122600,90300,86400,346800,139300,107100,184200,181700,187900,132700,113500,555800,96300,125800
"11/2015",199000,326900,95800,71600,108500,77400,89800,84400,117900,200800,106300,118500,234600,136700,140400,85100,102600,103000,159900,88100,122200,651000,119100,118500,136300,92100,440700,1281000,107700,108100,123800,147400,210500,85800,92500,117900,300900,518100,164900,407700,394900,74500,242900,150100,122800,90600,86600,347400,139900,107300,185300,182300,187700,132600,113700,556600,96300,125900
"12/2015",199300,326200,96200,71600,108900,77800,89600,84100,118300,200300,107300,118500,236000,137200,139900,84300,102800,103300,159900,86600,122200,652300,119400,118600,139600,92300,441600,1292100,108300,108600,124100,147000,209600,86000,92500,118300,297900,521900,164900,409600,396500,74800,243700,149200,123100,90800,86400,347300,138100,107200,186700,183300,187400,132300,114100,558200,96300,126100
"01/2016",199800,325500,96300,71500,109700,77700,89900,84800,118600,200600,107600,118700,237000,137800,140000,83500,102700,103400,160400,85200,122800,654800,120200,118000,142900,91500,443200,1302700,108800,108900,124500,146500,209600,86000,92000,118600,294800,525300,164900,412700,398000,75300,244200,148900,123600,91400,86300,347700,133300,107800,188500,183700,187700,132100,114600,560200,96700,126400
"02/2016",200600,323700,96600,71700,110200,77600,90400,85600,118700,201600,107400,119200,238700,138100,141200,83000,102000,103500,161500,84800,123600,659700,120900,117300,146200,91100,445600,1307500,109000,108400,124700,146000,209600,86000,91700,118500,292400,528800,164700,416300,398900,75700,244700,149300,124400,92600,86300,349000,128200,108900,189900,183700,188000,132300,114700,560800,97500,126900
"03/2016",201200,322100,97500,72200,110400,77700,90700,85800,118700,203000,107600,120000,240100,138200,142200,83200,101800,103800,162600,84900,124200,664200,121400,117400,149300,92200,449000,1308600,109600,107800,125000,145600,209700,86000,91900,118900,291500,532100,164400,419600,400200,76000,245500,150300,125300,93800,86400,349900,125300,109900,189800,184600,187900,132900,114600,560300,98300,127300
"04/2016",201500,322100,98500,72600,110900,77900,90600,85700,118400,203900,108000,120800,239500,138700,142400,83500,102100,104300,163400,85400,124400,666500,122300,118000,151900,93600,451300,1306200,110700,107800,125600,145500,210200,86100,92000,119600,292600,535900,164400,422600,402700,75900,246900,151200,126100,94500,86600,350500,124300,110700,189500,185500,188100,133400,114900,561100,99000,128100
"05/2016",201600,323900,99000,72800,111300,78200,90200,86000,118000,204300,108100,121400,238400,139200,142200,83500,102400,105000,163900,86100,124500,666600,122900,118600,154200,94600,452100,1301900,111900,108300,126200,146100,211600,86400,92200,120400,294400,540000,164800,425300,405700,75500,248000,151600,126900,95000,87100,350600,125000,111100,189300,186000,188900,133700,115300,563700,99600,129000
"06/2016",201400,325700,98900,73100,111500,78500,90000,86500,117300,204900,108100,121800,238300,139500,142000,83300,102500,105600,164400,86900,124700,666600,123200,119100,156100,94700,452500,1297700,112500,108400,126700,146900,213400,86800,92500,121100,297100,543100,165600,427200,407600,75000,249000,151700,127500,95600,87900,350500,126000,111100,189500,186400,189400,133800,115500,567300,99900,129600
"07/2016",202000,327000,99100,73300,112200,78500,90400,86800,116900,206000,107700,122200,238400,140000,142100,83500,103100,105800,164800,87400,124800,667800,123400,119500,157100,93900,453700,1297400,113000,108600,127000,147600,215200,87100,92600,121600,301900,545500,166800,428500,409300,74100,249800,152000,127900,96100,88300,351800,126700,110900,190400,187700,189600,134100,115500,571600,100300,129900
"08/2016",202900,329000,99200,73100,112500,78600,90700,86700,117000,207300,107000,122700,238200,140800,142500,83900,103800,105800,165100,87900,124400,672300,123300,119800,157100,93200,456200,1299400,113700,109400,127500,147300,216500,87300,92300,122000,307400,549100,168000,430500,410500,73600,250300,152500,128300,96600,88400,353800,127200,110600,191700,189100,190200,134200,115400,574000,100900,130600
"09/2016",203900,333000,99400,73000,112600,78800,90600,86500,117400,208100,106300,123200,238500,141800,142900,84400,104400,106100,165100,88600,124400,678400,123400,120300,156800,93700,458800,1301900,114800,110400,128000,146100,217500,87400,92400,122200,311700,552500,168900,434300,410300,73600,250600,153100,128500,97000,88300,354200,127200,110400,192600,189700,191300,134300,115700,574500,101200,131500
"10/2016",204900,338300,99500,73100,113000,78700,90600,86500,117600,208700,105800,123600,239200,142800,143200,84800,104600,106300,164700,89200,125600,683600,123800,121000,156700,95400,461200,1302900,115600,111400,128700,145200,218700,88000,92900,122400,313600,555400,169500,438900,409200,73900,251200,153500,128500,97200,88300,354100,126600,110400,192700,189700,192100,134600,116400,574400,100800,132300
"11/2016",205400,343700,99800,73000,114000,78300,90600,86500,117500,209300,105600,123600,239900,143600,143400,85600,105100,106000,164400,89600,126500,688600,123700,121600,155900,97100,464000,1305400,116400,112400,129400,145000,220500,88500,93300,122800,314300,560200,170100,443700,408800,74000,251600,154200,128600,96800,88700,355300,125100,110300,192400,190500,192700,134900,117200,575000,100400,132800
"12/2016",205400,349800,99600,73000,114100,78300,90600,86900,117900,210000,106400,123900,240600,144400,143800,86600,105700,105600,164000,89800,126500,693800,123700,121900,154600,97600,467600,1309900,117000,113100,130100,145300,222100,89000,94000,123400,315800,566900,170600,448200,409000,73700,251900,155400,128600,96500,89100,357900,123800,110500,193200,192400,193300,134900,118000,576400,100600,133300
"01/2017",206900,353900,99500,72900,113700,78500,90800,88000,119100,210900,107700,124600,241300,145000,144700,87300,106200,105800,163900,90500,126100,697900,124300,122300,152900,97500,470600,1316000,117500,113200,130400,145600,222900,89700,95800,124200,316800,571500,171500,451500,409600,73200,252200,156700,128600,96900,89100,360200,123100,111100,195100,194300,193600,135400,118600,578200,101300,134200
"02/2017",209400,355900,99100,72900,113400,78500,90900,89200,120700,212000,109200,125600,242000,145700,145600,87800,106500,106000,164300,91200,126200,702400,124800,122800,151100,97600,472800,1320900,118300,113000,130500,146000,223500,90600,97300,124900,316600,573200,172400,453800,411600,72900,251900,157500,128700,97700,89000,361000,124300,111600,196500,195500,194100,136100,119100,579700,101900,135200
"03/2017",211100,358500,98900,73000,113700,78500,90900,89900,121800,213200,110300,126600,243100,146500,146500,88600,106800,106300,165100,91600,126400,708800,125100,123300,149400,97900,474900,1322700,119800,113200,130700,146500,224500,91600,97300,125100,316600,575300,173100,457500,415100,73200,251500,158500,128800,98600,89200,361400,128600,112000,196900,197100,195800,137000,119700,582200,102500,136200
"04/2017",211700,362300,98800,73200,114100,78700,91400,90500,122500,214500,111300,127700,244800,147400,147100,89200,107100,106900,165700,92000,127000,715000,125200,123900,147800,98100,478000,1319400,121300,114000,131000,146800,225600,92200,96500,124800,318500,578800,173600,462300,417800,73300,251200,159700,128800,99400,90000,362500,133400,112800,197800,199200,196800,137900,120300,584700,103100,137000
"05/2017",211900,365300,98500,73300,114700,78800,92000,91300,122900,215700,112000,128300,246600,148300,147400,89400,107500,107400,166200,92600,127500,720600,125400,124100,146500,98200,482000,1318200,122500,114800,131100,146700,226500,92500,96300,123500,321200,582700,173800,467200,419100,73200,251100,161000,128900,99900,90800,365300,135700,113500,199000,200900,196100,138700,120800,588200,103500,137700
"06/2017",212400,368200,98200,73100,115200,79000,92300,92000,123300,216500,112800,128700,247900,149500,147700,89500,107700,107800,166600,93200,127700,725200,125900,124100,144700,98400,487400,1323000,123700,115600,131200,146700,226900,92700,96500,121500,322500,585600,174000,472700,419900,73200,251800,161900,129200,100400,91600,370200,136900,113800,199500,201900,195300,139200,121400,592900,103700,138200
"07/2017",212900,371000,98400,72700,115500,79400,92400,92100,123800,217400,113400,129100,248900,150700,148100,89600,107900,108200,166900,93600,127700,730500,126300,124300,145400,98800,492400,1327100,125300,116200,131600,147700,227800,92900,97300,120900,322200,589000,174000,478800,420800,73400,253800,162200,129300,100900,92300,374600,137900,114000,199300,203400,195400,139800,121900,597400,104100,138700
"08/2017",212700,373100,98900,72600,115700,79500,92500,91700,124200,218100,113700,129600,249900,151600,148100,89500,108100,108900,167300,93900,128200,737300,126400,124700,149500,99400,495200,1324600,127000,115900,131900,149800,229300,93600,98400,121500,322300,593100,174000,483400,423300,73400,255700,162300,129200,101000,92500,376000,138400,114200,198900,205600,195600,140200,121800,600600,104400,138900
"09/2017",211900,376200,99400,72800,116100,79900,92900,91100,124200,218500,113600,130100,250800,152400,147800,89500,108000,109700,167800,94300,129300,744700,126800,125200,153500,100000,496500,1322900,128900,115500,132300,152000,230700,94600,99200,122100,322900,598000,174100,485700,427800,73700,256800,162600,129000,101100,92400,375600,138300,114600,198200,206300,195600,140400,121400,604400,104400,138900
"10/2017",212000,379300,99900,73100,116900,80300,93300,91100,124700,218100,113900,130900,251400,153400,148200,89600,107700,110600,168500,94800,130400,749700,127900,126300,154100,99700,497900,1322500,130300,116000,133000,153500,231500,95100,99700,122400,324300,602200,174500,486400,432400,74600,257700,163000,129000,101300,92700,376500,138300,115500,198500,205600,196100,141000,121100,606400,104800,139000
"11/2017",216100,381300,100000,73100,117900,80400,93900,91100,125700,216600,114800,131800,252400,154600,149300,90000,107600,111800,169600,95200,131200,752100,128900,127900,152900,98100,498800,1315900,130800,116700,133700,154800,232400,94700,99900,122600,327200,604500,175300,486600,436200,75700,258800,163400,129700,101700,93100,378300,138800,116700,200100,205400,196200,142100,121500,604900,105500,139800
"12/2017",221500,381700,100600,73500,119100,80400,94400,91600,126900,216200,115700,132800,253200,155600,150900,90200,108200,112900,170900,95800,132700,755800,130100,129300,151000,98000,500400,1305600,130900,117600,133800,156800,233900,95000,99300,123500,330800,605500,176900,488400,438600,76400,259800,163700,130700,102200,93600,379200,139800,117100,202600,206500,197600,143200,122200,602800,106500,140700
"01/2018",223300,384200,102000,74500,119900,80800,94700,92600,127400,217900,116400,133600,254800,156000,152100,90300,110000,113400,171800,96700,134500,763100,131300,130300,148600,100200,504000,1302000,131400,118800,134200,159300,235400,96400,98600,125700,333500,608400,178300,493000,440600,76900,261100,164200,131600,102700,94600,379500,141500,116900,204800,208400,200800,144000,122900,603400,107400,141200
"02/2018",222200,390300,104100,75500,120000,81700,94900,93200,127400,220100,116900,134200,257200,156500,152500,91000,112100,113400,172300,97500,135500,770300,131700,131000,146000,102500,509400,1305400,131900,120400,135100,160800,236200,97800,98800,127800,335700,612700,178800,498400,443100,77600,262600,165000,132200,103500,95100,380700,143000,117500,206600,211100,204200,144200,123700,604200,108400,141200
"03/2018",222300,398700,106100,76200,120000,82400,95200,92900,127300,221000,117100,134700,260200,157200,152000,92200,113300,113700,172700,97700,135500,775900,131700,131300,144000,102900,514900,1307300,132100,121800,136100,161600,237000,98400,99500,129000,337800,617900,179100,503300,446600,78400,264000,165600,132400,104200,95200,382200,140300,119000,207300,213800,205400,144500,124100,605300,109000,141200
"04/2018",223200,405400,108100,76800,120600,82400,95400,92800,127700,221700,117500,135200,262300,157900,151700,92700,114000,114700,173500,98100,135800,780400,132600,131500,143000,103200,519200,1315500,132200,122800,136600,162800,238400,98800,100900,130000,339300,623300,179800,508600,449900,79100,265200,165800,132600,104800,95600,382200,135200,120800,206200,215400,206200,145300,123700,608400,109500,141000
"05/2018",224400,411100,110000,77200,121500,82100,95400,93200,128300,222400,118000,135700,264300,158700,152200,92500,114700,115400,175000,98900,136600,783600,133600,131800,142600,103900,523000,1323200,132200,123700,136700,164500,240200,99300,102200,130800,339900,628900,180400,512900,453100,79900,266000,166000,133200,105300,95900,379800,133200,122600,204500,216800,207300,146200,123500,612200,109800,141000
"06/2018",225700,415500,111600,77400,122000,81800,95500,93700,128700,223400,118600,136100,266400,159800,152900,92400,115300,115700,176700,99200,137200,785400,134100,132300,142600,104900,527200,1316700,132500,125000,137300,165900,242600,99800,102400,131500,340000,633200,180800,515600,454800,80500,266100,167200,133700,105700,95900,377400,134500,123700,204000,219000,208500,146600,123800,613800,110800,141200
"07/2018",226600,418400,112800,77900,122300,81700,95900,94000,129000,224600,119500,136500,268500,160800,153300,92500,115700,116400,177900,99400,137800,785700,134800,132900,142800,105700,530200,1300000,133100,126400,138400,166000,245400,100000,102100,132000,341400,635500,181500,518300,454900,81200,265800,168900,134400,106200,95900,377200,135500,124000,204500,221600,209100,147200,124600,613400,112200,141900
"08/2018",227000,421000,113800,78700,123300,81600,96200,93800,129800,225900,120600,137100,269900,161500,153800,92500,116100,117200,178700,99900,139400,785200,135700,134000,142400,106100,530400,1290800,133500,127000,139400,166000,247300,100200,102000,132300,343300,636100,182500,520800,453700,82300,265600,169900,135500,106900,96600,378300,136400,124200,205100,224100,210000,147700,125200,611600,113100,142500
"09/2018",228200,424200,114300,79000,123400,81400,96100,93300,130600,226900,121000,137500,270200,162200,153900,92800,116500,117800,179700,100400,139200,785800,135900,133500,141700,106000,531600,1283500,134300,127400,140100,166800,248500,100500,102200,132500,345100,638800,182800,524300,452900,81900,265600,170400,136800,107900,96700,380700,137200,124900,205200,226100,209600,148700,125900,609500,113600,143000
"10/2018",229800,427900,114600,78100,122000,80300,95600,93100,130700,227600,121300,137700,270500,162800,153500,93500,117100,118200,180800,100800,135500,787200,134900,130500,141000,105900,535600,1274600,135800,127900,140800,167600,250400,101100,102200,133000,347200,642300,182700,531600,452900,79300,265100,171300,137900,108800,95500,384100,138600,125700,204600,226800,207200,150000,127400,609200,114000,143700
"11/2018",229900,431500,114800,77000,120900,79700,95300,93300,130300,228500,121600,138200,271200,162900,153300,94100,117900,118800,181500,101600,131500,786400,133500,127400,140900,106700,540500,1264900,137400,128300,141200,167800,252500,101800,103700,133800,349700,644100,183000,539800,453700,76600,264800,172500,139100,109100,94500,387900,140600,126200,204000,227000,204600,151400,129100,609300,114400,144700
"12/2018",228000,434500,115000,76500,120500,80200,95300,93600,129900,230100,121900,139200,272200,162900,153500,94000,118500,119500,181800,102500,129500,783100,133000,126700,142000,108100,542600,1251800,138300,128400,141300,167900,253700,102600,107000,134200,351400,645000,183100,541800,454500,76100,264800,173400,140200,109600,94400,392300,143100,127000,204000,227800,203200,152700,130200,608500,115000,145400
"01/2019",226900,436100,114900,76200,119800,81000,95100,94000,129700,232300,121900,139400,273400,163000,153700,93700,118600,119700,181800,103100,127800,780700,133100,126900,144000,109000,542500,1235200,138900,128700,141300,168200,254600,103000,110300,133800,352300,645800,183400,538200,455100,76800,264700,174500,140600,110500,94700,398200,145200,127900,204300,228800,202100,153500,131000,607100,115400,145600
"02/2019",227500,436900,114900,75900,120100,81500,95100,94300,129900,234400,121700,138600,274800,163700,153300,94000,118500,119500,181200,102700,127700,782100,133000,127100,146400,108700,542600,1226500,139700,129500,141200,168900,256400,102900,110900,133100,352900,647200,184300,534700,456700,77600,264900,175200,140400,111300,94900,404900,146100,128400,205000,229700,201100,153600,131900,611100,115400,145500
"03/2019",228200,436500,114300,75700,121900,81700,95100,94400,130600,235500,121500,137400,275700,164500,152100,94600,118100,119300,180600,102100,128500,783200,132800,126900,148000,107900,543600,1220400,139600,129300,140800,168800,258000,102600,109400,132600,353400,647400,184800,531600,457900,77700,264600,174800,140500,111400,94800,409800,146200,127700,204800,229200,199900,153600,133100,617300,115300,145100
"04/2019",228100,435600,113200,75500,123500,81800,94700,94600,131000,235800,121400,136500,276500,164800,150900,94500,117500,119100,180300,101900,128500,782300,133100,126600,148600,107300,543600,1209100,138700,127900,140300,167800,258400,102200,107500,132700,353800,646100,184400,528300,457600,77500,263600,173800,140900,111500,94200,411500,146800,126600,204100,227700,198900,153400,133900,620200,115100,144500



"Publisher:", "Zillow"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
